round,seed,defect,coop,exploit_,exploit
922,385,25325,22925,17105,12645
923,385,24314,23901,16894,12891
924,385,23286,24615,17417,12682
925,385,22396,25739,17738,12127
926,385,21353,26840,18131,11676
927,385,20232,27485,18902,11381
928,385,21322,26363,18767,11548
929,385,19194,28725,18788,11293
930,385,18482,30215,18056,11247
931,385,19884,28326,18092,11698
932,385,21058,27298,17574,12070
933,385,20846,27676,17587,11891
934,385,19933,28375,18038,11654
935,385,18703,29763,17360,12174
936,385,19112,29450,17222,12216
937,385,21033,27533,17958,11476
938,385,21741,26512,18406,11341
939,385,23017,25651,17797,11535
940,385,22797,25739,17857,11607
941,385,20804,27936,18031,11229
942,385,21855,27050,18141,10954
943,385,20736,27593,18455,11216
944,385,21961,26635,17948,11456
945,385,22746,25312,18341,11601
946,385,22575,25415,18336,11674
947,385,24893,23411,17855,11841
948,385,27036,21337,16870,12757
949,385,29142,19364,15799,13695
950,385,28283,20547,15175,13995
951,385,27986,20634,15267,14113
952,385,26699,21402,15983,13916
953,385,29007,19428,15021,14544
954,385,27041,21274,14177,15508
955,385,25603,22457,14300,15640
956,385,23245,25054,15164,14537
957,385,23513,25137,15145,14205
958,385,23466,25075,15155,14304
959,385,24795,23947,15378,13880
960,385,22517,25968,14462,15053
961,385,21689,26845,14880,14586
962,385,20646,28346,14970,14038
963,385,22484,26268,14158,15090
964,385,22534,26107,14128,15231
965,385,23295,25053,13702,15950
966,385,23290,25293,13594,15823
967,385,23397,24942,13758,15903
968,385,24490,23796,14117,15597
969,385,25265,22728,14605,15402
970,385,25957,21605,15046,15392
971,385,24188,23332,14603,15877
972,385,25917,21705,13689,16689
973,385,25616,21746,13876,16762
974,385,25494,21854,13873,16779
975,385,23493,23710,14950,15847
976,385,21396,25565,14244,16795
977,385,21444,25611,14135,16810
978,385,22635,24928,13836,16601
979,385,22373,25172,13870,16585
980,385,23319,23993,13251,17437
981,385,22591,24997,12940,17472
982,385,24836,22797,12897,17470
983,385,24608,22933,12867,17592
984,385,24543,23056,12786,17615
985,385,25296,21718,12733,18253
986,385,26462,21164,12841,17533
