round,seed,population_seed,strategy,count,percentage
246,990,721,defect,18362,0.24
246,990,721,exploitation,28951,0.37
247,990,721,coop,31082,0.4
247,990,721,defect,18097,0.23
247,990,721,exploitation,28821,0.37
248,990,721,coop,30759,0.39
248,990,721,defect,18570,0.24
248,990,721,exploitation,28671,0.37
249,990,721,coop,30148,0.39
249,990,721,defect,18688,0.24
249,990,721,exploitation,29164,0.37
250,990,721,coop,32214,0.41
250,990,721,defect,16989,0.22
250,990,721,exploitation,28797,0.37
251,990,721,coop,31481,0.4
251,990,721,defect,17563,0.23
251,990,721,exploitation,28956,0.37
252,990,721,coop,32437,0.42
252,990,721,defect,16890,0.22
252,990,721,exploitation,28673,0.37
253,990,721,coop,31840,0.41
253,990,721,defect,17540,0.22
253,990,721,exploitation,28620,0.37
254,990,721,coop,31723,0.41
254,990,721,defect,17411,0.22
254,990,721,exploitation,28866,0.37
255,990,721,coop,30838,0.4
255,990,721,defect,17926,0.23
255,990,721,exploitation,29236,0.37
256,990,721,coop,31909,0.41
256,990,721,defect,17398,0.22
256,990,721,exploitation,28693,0.37
257,990,721,coop,32389,0.42
257,990,721,defect,16885,0.22
257,990,721,exploitation,28726,0.37
258,990,721,coop,32365,0.41
258,990,721,defect,16900,0.22
258,990,721,exploitation,28735,0.37
259,990,721,coop,32139,0.41
259,990,721,defect,16912,0.22
259,990,721,exploitation,28949,0.37
260,990,721,coop,32944,0.42
260,990,721,defect,16430,0.21
260,990,721,exploitation,28626,0.37
261,990,721,coop,32476,0.42
261,990,721,defect,16784,0.22
261,990,721,exploitation,28740,0.37
262,990,721,coop,32207,0.41
262,990,721,defect,16934,0.22
262,990,721,exploitation,28859,0.37
263,990,721,coop,32254,0.41
263,990,721,defect,16672,0.21
263,990,721,exploitation,29074,0.37
264,990,721,coop,32171,0.41
264,990,721,defect,17318,0.22
264,990,721,exploitation,28511,0.37
265,990,721,coop,29273,0.38
265,990,721,defect,19449,0.25
265,990,721,exploitation,29278,0.38
266,990,721,coop,29685,0.38
266,990,721,defect,19289,0.25
266,990,721,exploitation,29026,0.37
267,990,721,coop,30413,0.39
267,990,721,defect,18761,0.24
267,990,721,exploitation,28826,0.37
268,990,721,coop,29085,0.37
268,990,721,defect,20246,0.26
268,990,721,exploitation,28669,0.37
269,990,721,coop,30206,0.39
269,990,721,defect,18525,0.24
269,990,721,exploitation,29269,0.38
270,990,721,coop,29963,0.38
270,990,721,defect,18881,0.24
270,990,721,exploitation,29156,0.37
271,990,721,coop,29167,0.37
271,990,721,defect,19666,0.25
271,990,721,exploitation,29167,0.37
272,990,721,coop,27424,0.35
272,990,721,defect,21210,0.27
272,990,721,exploitation,29366,0.38
273,990,721,coop,27966,0.36
273,990,721,defect,20878,0.27
273,990,721,exploitation,29156,0.37
274,990,721,coop,26255,0.34
274,990,721,defect,22572,0.29
274,990,721,exploitation,29173,0.37
275,990,721,coop,25930,0.33
275,990,721,defect,23091,0.3
275,990,721,exploitation,28979,0.37
276,990,721,coop,28359,0.36
276,990,721,defect,20810,0.27
276,990,721,exploitation,28831,0.37
277,990,721,coop,27310,0.35
277,990,721,defect,21506,0.28
277,990,721,exploitation,29184,0.37
278,990,721,coop,28416,0.36
