round,seed,defect,exploit_,exploit,coop
775,179,16663,13910,15730,31697
776,179,15866,13403,15399,33332
777,179,17426,14627,14796,31151
778,179,18312,14629,15437,29622
779,179,18020,14783,15463,29734
780,179,18764,14130,15568,29538
781,179,16840,14458,14870,31832
782,179,16996,14517,14831,31656
783,179,16513,14622,15081,31784
784,179,18022,15118,14919,29941
785,179,17022,14331,15290,31357
786,179,17533,14094,15469,30904
787,179,15615,14122,14671,33592
788,179,15978,14116,14551,33355
789,179,15912,14104,14759,33225
790,179,17769,15052,14092,31087
791,179,17170,15162,14016,31652
792,179,18661,15456,14681,29202
793,179,20786,14540,15547,27127
794,179,22750,14742,15555,24953
795,179,20586,15095,15204,27115
796,179,21618,15689,14817,25876
797,179,22950,15104,15686,24260
798,179,22900,15074,15713,24313
799,179,20891,16146,14484,26479
800,179,22054,15839,14558,25549
801,179,24138,15632,14737,23493
802,179,23762,15618,14759,23861
803,179,23288,15840,14947,23925
804,179,23522,15803,14941,23734
805,179,23264,15867,14875,23994
806,179,22314,16115,14169,25402
807,179,21955,16159,14272,25614
808,179,22219,16109,14187,25485
809,179,24015,15912,14611,23462
810,179,24152,15761,14540,23547
811,179,24179,15809,14511,23501
812,179,23145,16400,14478,23977
813,179,24297,15726,14558,23419
814,179,26369,16561,13597,21473
815,179,26444,16546,13529,21481
816,179,24178,17424,13040,23358
817,179,25261,17444,12674,22621
818,179,23974,17168,12421,24437
819,179,23883,17191,12517,24409
820,179,24907,17607,12318,23168
821,179,25056,17642,12124,23178
822,179,24555,17846,12336,23263
823,179,24809,17810,12363,23018
824,179,24934,17834,12234,22998
825,179,24987,17667,12238,23108
826,179,24951,17615,12292,23142
827,179,24199,18041,12283,23477
828,179,23398,18718,12157,23727
829,179,21729,18182,12274,25815
830,179,21648,18152,12229,25971
831,179,21435,18312,12357,25896
832,179,21762,18220,12240,25778
833,179,23466,18605,12062,23867
834,179,23685,18434,11853,24028
835,179,22847,18506,12653,23994
836,179,21070,17452,13367,26111
837,179,20784,17423,13504,26289
838,179,19081,16838,13856,28225
839,179,17227,15491,14835,30447
840,179,16351,15877,14675,31097
841,179,15775,15464,14425,32336
842,179,14807,15327,14676,33190
843,179,13188,14282,15036,35494
844,179,13414,14346,14914,35326
845,179,14009,14601,15372,34018
846,179,13497,14229,15824,34450
847,179,11980,13083,16317,36620
848,179,11673,13172,16519,36636
849,179,12556,13303,15976,36165
850,179,11729,13035,16518,36718
851,179,11962,12975,16541,36522
852,179,12013,13028,16460,36499
853,179,11340,12708,16969,36983
854,179,11295,12854,17024,36827
855,179,11279,12779,16949,36993
856,179,10632,12700,16013,38655
857,179,11891,14250,15607,36252
858,179,10530,14183,14829,38458
859,179,10803,13850,14567,38780
860,179,10129,14011,14679,39181
861,179,10218,13870,14882,39030
862,179,9835,14059,14921,39185
863,179,9525,14030,14811,39634
864,179,10649,15793,14238,37320
865,179,12269,17158,13490,35083
866,179,12562,16785,13812,34841
867,179,12606,16803,13753,34838
