round,seed,defect,coop,exploit_,exploit
893,385,21761,25883,14257,16099
894,385,21450,25970,14392,16188
895,385,22036,25219,14411,16334
896,385,21617,25858,14386,16139
897,385,21317,25898,14469,16316
898,385,23798,23931,13973,16298
899,385,25161,22892,13657,16290
900,385,24777,23615,13317,16291
901,385,23360,24435,13778,16427
902,385,21314,26727,13970,15989
903,385,22488,25334,13947,16231
904,385,20537,27660,14005,15798
905,385,20103,28300,14155,15442
906,385,20289,27871,14325,15515
907,385,19571,28585,14200,15644
908,385,19498,28933,14127,15442
909,385,19222,28760,14335,15683
910,385,21232,27140,14206,15422
911,385,21833,26767,14460,14940
912,385,20799,27643,14547,15011
913,385,20524,28607,14215,14654
914,385,22282,26473,14190,15055
915,385,21239,27957,13793,15011
916,385,21148,27764,14028,15060
917,385,21564,27571,13954,14911
918,385,21483,27516,14024,14977
919,385,20220,28966,14336,14478
920,385,20004,29007,14411,14578
921,385,20102,28620,14567,14711
922,385,18947,29505,14912,14636
923,385,18821,29828,14891,14460
924,385,19001,29840,14674,14485
925,385,18805,29904,14798,14493
926,385,19253,29307,14915,14525
927,385,18758,30289,14789,14164
928,385,18560,30287,14938,14215
929,385,18481,30206,15009,14304
930,385,16762,32125,14580,14533
931,385,15400,33338,14777,14485
932,385,15240,33882,14737,14141
933,385,16934,31600,14975,14491
934,385,17187,31055,15100,14658
935,385,15044,33496,14483,14977
936,385,14484,34624,13863,15029
937,385,15763,33113,14199,14925
938,385,16809,31806,14689,14696
939,385,16251,32458,14799,14492
940,385,16880,31732,14701,14687
941,385,16646,32308,14608,14438
942,385,16036,32828,14637,14499
943,385,15851,33396,14352,14401
944,385,15062,34658,14417,13863
945,385,15037,34123,14735,14105
946,385,14966,34232,14761,14041
947,385,15013,34950,14590,13447
948,385,14546,35120,14614,13720
949,385,15122,34325,14763,13790
950,385,15376,33952,14698,13974
951,385,15539,33682,14632,14147
952,385,15630,33479,14677,14214
953,385,17204,31702,14454,14640
954,385,15793,33538,13857,14812
955,385,13848,35441,13943,14768
956,385,13582,35665,14103,14650
957,385,14458,34961,13883,14698
958,385,14046,34886,14088,14980
959,385,14703,33576,14634,15087
960,385,14766,34138,14442,14654
961,385,14919,33890,14441,14750
962,385,15041,33713,14409,14837
963,385,14759,33952,14491,14798
964,385,15561,33484,14345,14610
965,385,17489,30933,14217,15361
966,385,16533,32199,14292,14976
967,385,15841,32627,14341,15191
968,385,17447,31657,14309,14587
969,385,17420,31623,14368,14589
970,385,15766,33190,14112,14932
971,385,16005,33211,14012,14772
972,385,17052,32221,13833,14894
973,385,17971,30838,14028,15163
974,385,17788,31191,13945,15076
975,385,16264,32584,14338,14814
976,385,16192,32416,14442,14950
977,385,16772,31846,14483,14899
978,385,16013,32860,14261,14866
979,385,16429,32152,14425,14994
980,385,16078,32632,14524,14766
981,385,16070,33145,14365,14420
982,385,15872,32856,14473,14799
983,385,15831,33408,14197,14564
984,385,15731,33334,14330,14605
985,385,17578,31465,13942,15015
986,385,17842,31113,13988,15057
987,385,17647,31458,13916,14979
988,385,17994,31173,13882,14951
989,385,17992,31179,13804,15025
990,385,16427,32450,14106,15017
991,385,16711,32111,14198,14980
992,385,16176,32685,14044,15095
993,385,16964,31836,14131,15069
994,385,14914,33817,14424,14845
995,385,15284,33248,14473,14995
996,385,15328,33457,14404,14811
997,385,14389,34483,14258,14870
998,385,15473,33088,14479,14960
999,385,13810,35022,14533,14635
1000,385,14491,33667,14596,15246
