round,seed,exploit,defect,exploit_,coop
853,123,18005,35365,14674,9956
854,123,18127,35305,14717,9851
855,123,16915,37447,14773,8865
856,123,16367,36580,15376,9677
857,123,16338,36440,15502,9720
858,123,15633,37524,15362,9481
859,123,15706,37499,15242,9553
860,123,16352,36549,14688,10411
861,123,15164,38787,14871,9178
862,123,15551,36318,15610,10521
863,123,16471,35281,15851,10397
864,123,15855,33248,16834,12063
865,123,14962,31099,18662,13277
866,123,14904,31118,18558,13420
867,123,14564,33238,18320,11878
868,123,13444,34421,18440,11695
869,123,13208,35455,18728,10609
870,123,14934,33085,18007,11974
871,123,14915,35540,16896,10649
872,123,13795,37558,16964,9683
873,123,14758,39727,15163,8352
874,123,15175,38859,14635,9331
875,123,14434,36511,16689,10366
876,123,14546,36500,16543,10411
877,123,14218,34182,17968,11632
878,123,15466,31959,17555,13020
879,123,14947,31082,17743,14228
880,123,14881,31100,17775,14244
881,123,14996,31081,17853,14070
882,123,15490,32170,17369,12971
883,123,15144,34237,16910,11709
884,123,14760,36509,16351,10380
885,123,15729,38605,14298,9368
886,123,15772,38769,14266,9193
887,123,15767,38499,14463,9271
888,123,14927,39813,14889,8371
889,123,14955,39922,14853,8270
890,123,14341,38692,15772,9195
891,123,13078,40371,15828,8723
892,123,13365,40007,15711,8917
893,123,13692,37513,16456,10339
894,123,13928,37417,16505,10150
895,123,14417,35409,16827,11347
896,123,14566,35270,16835,11329
897,123,13826,34294,17297,12583
898,123,14214,33041,17104,13641
899,123,14243,33219,16992,13546
900,123,13620,31182,18134,15064
901,123,13089,29649,18936,16326
902,123,12683,30719,18511,16087
903,123,13248,32025,17868,14859
904,123,12561,30648,18729,16062
905,123,12906,29455,18267,17372
