round,seed,exploit,defect,exploit_,coop
912,123,10573,46937,15172,5318
913,123,10450,47297,14989,5264
914,123,10513,46969,15140,5378
915,123,10205,44494,17002,6299
916,123,10059,44573,17136,6232
917,123,10716,43523,16794,6967
918,123,11510,42233,16368,7889
919,123,11506,42239,16546,7709
920,123,10832,43301,16765,7102
921,123,10825,45812,15330,6033
922,123,10611,44292,16259,6838
923,123,10656,44467,16088,6789
924,123,9985,45650,16381,5984
925,123,9531,47227,16062,5180
926,123,9739,46069,16283,5909
927,123,10346,43253,17277,7124
928,123,10386,43533,17104,6977
929,123,10300,43358,17254,7088
930,123,10413,43256,17331,7000
931,123,10765,42470,16895,7870
932,123,10982,42047,17230,7741
933,123,10720,42299,17158,7823
934,123,10827,42280,17176,7717
935,123,10200,43409,17312,7079
936,123,10312,43435,17305,6948
937,123,10954,42203,17009,7834
938,123,10998,42178,16994,7830
939,123,10759,43220,16465,7556
940,123,10343,44580,16410,6667
941,123,9549,45859,16617,5975
942,123,9542,46920,16284,5254
943,123,9566,46961,16285,5188
944,123,9432,46938,16359,5271
945,123,9413,47076,16233,5278
946,123,9402,47146,16116,5336
947,123,9396,46944,16312,5348
948,123,11715,44382,15710,6193
949,123,9353,46995,16315,5337
950,123,10877,44483,16380,6260
951,123,10995,43413,16628,6964
952,123,10743,43605,16594,7058
953,123,10476,42282,17270,7972
954,123,11148,43453,16438,6961
955,123,11027,43536,16457,6980
956,123,11691,42195,16263,7851
957,123,11697,42105,16380,7818
958,123,12021,41078,16787,8114
959,123,11904,39974,17094,9028
960,123,11962,40055,17117,8866
961,123,11965,39863,17103,9069
962,123,11952,39825,17225,8998
963,123,12133,37444,18280,10143
964,123,11780,36211,18724,11285
